name,category
symaps.io,"Big Data, Immobilier commercial, Intelligence artificielle / Machine Learning"
wellio,"Immobilier commercial, Organisation / Management"
birchbox,"Cosmétique, E-commerce"
kameleoon,"Big Data, SaaS / Cloud Services"
proman,Recrutement
lyde-conseil,"Mobilité, Organisation / Management, Stratégie"
bengs,"Organisation / Management, Stratégie, Transformation"
seabird,"Assurance, Stratégie, Transformation"
alenvi,"Santé, Services à la personne"
cowash,"Application mobile, Services à la personne, Économie collaborative"
lifen,"Logiciels, Santé"
mc²i-groupe,"IT / Digital, Transformation"
dauchez-1810,Immobilier particulier
wezen,Big Data
label-experience,Design
stormz,"Application mobile, Économie collaborative"
scalia,"Big Data, E-commerce"
watt-&-well,"Aéronautique / Spatiale, Electronique / Télécommunications"
umantic-groupe-quodagis,"Electronique / Télécommunications, IT / Digital"
agyla,SaaS / Cloud Services
keldoc,"Logiciels, Santé, Services à la personne"
groupement-les-mousquetaires,Grande consommation
studapart,Immobilier particulier
agence79,"AdTech  / MarTech, Digital, Marketing / Communication, Relations publiques"
thecodingmachine,"Application mobile, IT / Digital"
bluecargo,"Intelligence artificielle / Machine Learning, Logistique, Transports maritime et routier"
papier-tigre,"Design, E-commerce"
tastycloud,"Application mobile, FoodTech"
homly-you,"Bâtiment / Travaux publics, Immobilier particulier, SaaS / Cloud Services"
follow,"Digital, Marketing / Communication"
livy,"Luxe, Mode"
storefront,"Immobilier commercial, Mode"
digi-paye,"Ressources humaines, SaaS / Cloud Services"
link-media-group,"AdTech  / MarTech, Marketing / Communication, Média"
fizzer,"Application mobile, Loisirs, Tourisme"
pérenne’it,IT / Digital
cocolabs,"E-commerce, IT / Digital"
dolist,"AdTech  / MarTech, Marketing / Communication, SaaS / Cloud Services"
ouistock,"E-commerce, Immobilier particulier, Économie collaborative"
euris,"Big Data, IT / Digital, Logiciels, SaaS / Cloud Services, Santé"
qualitadd,"Big Data, Cybersécurité, SaaS / Cloud Services"
mozoo,"AdTech  / MarTech, Marketing / Communication, Publicité"
chic-des-plantes,Epicerie fine
estimation-média,Marketing / Communication
gourmet-food-france,"E-commerce, FoodTech, Grande consommation"
eulerian-technologies,"Big Data, Digital Marketing / Data Marketing"
chateauform',Evénementiel
infhotep,"IT / Digital, Organisation / Management, Transformation"
furet-company,Application mobile
karoo,"IT / Digital, Stratégie"
osaxis,"IT / Digital, Logiciels"
badakan,"Application mobile, FoodTech, Restauration"
eventmaker,"AdTech  / MarTech, Evénementiel, SaaS / Cloud Services"
youlovewords,"Digital, Marketing / Communication, Stratégie"
eurostaff-group,Recrutement
wingly,"Application mobile, Loisirs, Économie collaborative"
blueanchor.io,"Digital, Formation, IT / Digital"
linkshor,"Marketing / Communication, Stratégie"
galeries-lafayette,"E-commerce, Mode"
actradis.fr,"IT / Digital, Économie collaborative"
zéro-gâchis,"Environnement / Développement durable, FoodTech, SocialTech / GreenTech"
quimeo,"IT / Digital, Logiciels, Organisation / Management"
everyday-content,"Marketing / Communication, Publicité, Stratégie"
alveus,Education
iskn,"Application mobile, Objets connectés"
ringover-group,"Electronique / Télécommunications, SaaS / Cloud Services"
printemps,"Cosmétique, Luxe, Mode"
powerspace,"AdTech  / MarTech, Digital Marketing / Data Marketing"
vita-coco,"Art de vivre, Grande consommation"
weave,"Digital Marketing / Data Marketing, Organisation / Management, Stratégie, Transformation"
playplay,SaaS / Cloud Services
+simple.fr,"Assurance, FinTech / InsurTech"
budget-insight,"Big Data, Finance, Transformation"
wattsense,"Immobilier commercial, Objets connectés"
advizeo,"Energie, Objets connectés"
sphères,"Design, Stratégie"
sowefund,"FinTech / InsurTech, Finance"
canard-&-cie,"Digital, Marketing / Communication, Publicité"
