name,category
ignitionone,"Big Data, IT / Digital"
club-identicar,"Automobile, E-commerce"
easyrecrue,"Recrutement, SaaS / Cloud Services"
jarvis-legal,"SaaS / Cloud Services, Service juridique"
lafourchette,"Application mobile, FoodTech, Tourisme"
yuco,"IT / Digital, Organisation / Management, Ressources humaines"
eldorado.co,"Accompagnement, Finance, IT / Digital"
delidrinks,"Boissons, E-commerce"
vo2-group,"IT / Digital, Transformation"
ekino,"IT / Digital, Transformation"
student-pop,"Application mobile, Recrutement"
work4,Recrutement
les-nouveaux-héritiers,"Recrutement, Ressources humaines, Stratégie"
ironhack-france,"EdTech, Formation"
ornikar,"Education, IT / Digital"
freebox,"Electronique / Télécommunications, Logistique"
reachfive,"Cybersécurité, SaaS / Cloud Services"
dorothy-danahy,Recrutement
tracktl,"Application mobile, Musique"
helloasso,Économie collaborative
bergamotte,"Art de vivre, E-commerce"
prestigious,"Formation, Immobilier particulier, Luxe, Tourisme"
fugu,"Architecture, Design, Marketing / Communication"
smartrenting,"Immobilier particulier, Tourisme, Économie collaborative"
ozitem,"IT / Digital, SaaS / Cloud Services"
green-big,"Environnement / Développement durable, Objets connectés"
geo-plc,"Environnement / Développement durable, Transformation"
digitools.io,"Digital, Digital Marketing / Data Marketing"
snapevent,"Evénementiel, SaaS / Cloud Services"
diabolocom,Logiciels
groupe-carrus,"Logiciels, Loisirs, Objets connectés"
mon-avocat.fr,"IT / Digital, Service juridique"
c-ways,"Digital Marketing / Data Marketing, Stratégie"
xange,Finance
insiti,"Environnement / Développement durable, Immobilier commercial, Économie collaborative"
qare,"Application mobile, SaaS / Cloud Services, Santé"
crème-de-la-crème,"E-commerce, IT / Digital, Organisation / Management"
spintank,"Digital, Digital Marketing / Data Marketing, Marketing / Communication"
jump,"FinTech / InsurTech, IT / Digital"
biomodex,"Logiciels, Santé"
itnovem,"Big Data, Objets connectés"
médecindirect,"Application mobile, Santé, Services à la personne"
payintech,"FinTech / InsurTech, Loisirs, Objets connectés"
alchimie,"Média, Télévision / Production audiovisuelle"
marie-antoinette-groupe,"Marketing / Communication, Relations publiques, Stratégie"
koober,"Application mobile, Edition, Formation"
thetribe,"IT / Digital, Stratégie"
nova-consulting,"Musées / Institutions culturelles, Sport, Stratégie"
greenflex,Environnement / Développement durable
sia-partners,"IT / Digital, Intelligence artificielle / Machine Learning"
certideal,"E-commerce, Electronique / Télécommunications, Économie collaborative"
shotgun,"Application mobile, E-commerce, Musique"
armis,"Big Data, Intelligence artificielle / Machine Learning, Publicité"
flatlooker,"Digital, Immobilier commercial"
commanders-act,"Application mobile, E-commerce"
aubay,IT / Digital
viareport,"FinTech / InsurTech, Logiciels, Stratégie"
yoss,Recrutement
five-by-five,"Digital Marketing / Data Marketing, Formation"
side,"Application mobile, Recrutement"
aos,"Bâtiment / Travaux publics, SaaS / Cloud Services"
transatel,"Electronique / Télécommunications, Objets connectés"
ikentoo,"Application mobile, Big Data, FoodTech"
simprom,Immobilier commercial
cybelangel,Big Data
ipsos,"Big Data, Marketing / Communication, Stratégie"
sentry-software,Logiciels
yuka,"Application mobile, FoodTech, Grande consommation"
oyst,E-commerce
brigad,"Application mobile, Recrutement"
diji,"Application mobile, Design, Transformation"
oresys,Organisation / Management
yubo,Application mobile
&-other-stories,"Art de vivre, Mode"
groupe-ares,"Associations sociales et syndicales, Recrutement, Ressources humaines"
keley-consulting,"Big Data, IT / Digital, Objets connectés"
natixis,"Assurance, Banque, Transformation"
la-thé-box,"E-commerce, Epicerie fine, FoodTech"
modulotech,"Application mobile, IT / Digital, Objets connectés"
ooreka,"IT / Digital, Média"
3w-academy,"Education, Formation"
liana-technologies,"IT / Digital, SaaS / Cloud Services, Stratégie"
expert-teleportation,Objets connectés
sellsy,SaaS / Cloud Services
meilleurtaux.com,"E-commerce, FinTech / InsurTech, Immobilier commercial, Immobilier particulier"
mybestpro,"SaaS / Cloud Services, Économie collaborative"
la-relève,Recrutement
médiamétrie,"Big Data, Média"
study-advisor,"Application mobile, Education, Formation"
wagram-&-vous,"Evénementiel, Loisirs, Marketing / Communication"
listen-too,"Design, Transformation"
merito,"Grande distribution, Mode, Recrutement"
forest-admin,"IT / Digital, SaaS / Cloud Services"
vod-factory,"Cinéma, Télévision / Production audiovisuelle"
white-bird,"Joaillerie, Luxe"
javelo,SaaS / Cloud Services
the-plum-guide,"Immobilier particulier, Luxe, Tourisme"
groupe-cerise,"Digital, Média"
blablacar,"Application mobile, Mobilité, Économie collaborative"
eurogroup-consulting,"Organisation / Management, Stratégie"
wildesk,"Art de vivre, E-commerce, Epicerie fine"
sentryo,Objets connectés
tictactrip,"Big Data, Mobilité, Tourisme"
homepilot,Immobilier particulier
allo-media,Intelligence artificielle / Machine Learning
witivio,SaaS / Cloud Services
ledger,"Blockchain, Cybersécurité, FinTech / InsurTech"
timeone,"Digital, Marketing / Communication"
pricing-assistant,"Big Data, E-commerce, Stratégie"
la-capsule,Formation
happytech,Social / Associatif
en-marche-!,"Formation, Média, Publicité"
minutebuzz,"Digital, Média"
sqli,"Digital, Digital Marketing / Data Marketing"
ariadnext,"Application mobile, Cybersécurité, SaaS / Cloud Services"
bidmotion,"Application mobile, Big Data, IT / Digital"
gens-de-confiance,Économie collaborative
lbf---la-brasserie-fondamentale,"Boissons, E-commerce"
boxtal,"E-commerce, Logistique"
gest4u,FinTech / InsurTech
afrimarket,E-commerce
parrot,"Objets connectés, Robotique"
learnenjoy,"Application mobile, Education, Services à la personne"
agence-france-presse,Média
ekim,FoodTech
medgo,"Application mobile, Recrutement, Santé"
les-coqs-en-pâte,"Evénementiel, Jeux vidéos"
id&al-groupe,"Immobilier commercial, Immobilier particulier"
altim-france,"Logiciels, Transformation"
younited-credit,"FinTech / InsurTech, Économie collaborative"
eelway,"Application mobile, Loisirs, Économie collaborative"
petit-picotin,"Design, E-commerce, Mode"
etoffe.com,"Aménagement / Design, E-commerce, Luxe"
my-jolie-candle,"Art de vivre, E-commerce"
selectra,"Grande distribution, SaaS / Cloud Services"
illicopro,"Immobilier particulier, SaaS / Cloud Services"
technology-everywhere,"Application mobile, IT / Digital, Logiciels"
novaquark,Jeux vidéos
metron,"Big Data, Environnement / Développement durable, Objets connectés, Stratégie"
luckey,"Hôtellerie, Immobilier particulier"
fabernovel-stories,"Digital Marketing / Data Marketing, Marketing / Communication, Stratégie"
explore-media,Média
disneyland®-paris,"Cinéma, Loisirs, Tourisme"
synomia,"Big Data, Intelligence artificielle / Machine Learning, Transformation"
beam-advisory,"Organisation / Management, Stratégie"
clustree,"Intelligence artificielle / Machine Learning, Recrutement"
urbantz,"Logiciels, Logistique"
carte-blanche-partenaires,Santé
the-chatbot-factory,Intelligence artificielle / Machine Learning
incubateur-hec,"Accompagnement, Formation, Incubateur / Accélérateur"
5eme-gauche,"Digital, Marketing / Communication, Publicité"
lunchr,"Application mobile, FoodTech, Restauration"
salecycle,"AdTech  / MarTech, Big Data, E-commerce"
kiplin,"Objets connectés, Santé"
karnott,"Agroalimentaire, Objets connectés"
plüm-énergie,"Energie, Environnement / Développement durable"
cotton-bird,Art de vivre
leroy-merlin,"E-commerce, Grande distribution"
steerfox,"AdTech  / MarTech, Audit"
actusite,"Design, Marketing / Communication"
ici,"Digital Marketing / Data Marketing, Transformation"
the-kooples,"Luxe, Mode"
happytal,"Santé, Services à la personne"
easiware,Logiciels
jam,"Digital, EdTech, Média"
emma-matelas,E-commerce
the-other-store,"Digital, E-commerce, Marketing / Communication"
raise,"Finance, Stratégie"
quitoque,"E-commerce, Environnement / Développement durable, Restauration"
goodeed,"Social / Associatif, Économie collaborative"
quartus,"Immobilier commercial, Immobilier particulier"
arago-consulting,"Audit, Transaction Services"
health-for-people,"Education, Santé"
xendera,"Application mobile, Santé, Sport"
netheos,IT / Digital
yseop,"Intelligence artificielle / Machine Learning, Logiciels"
scibids,"AdTech  / MarTech, Big Data"
habx,Immobilier particulier
datadog,Big Data
cider,"Aménagement / Design, Immobilier commercial, Transformation"
effilab,"AdTech  / MarTech, Big Data"
esv-digital,"Big Data, Digital Marketing / Data Marketing, Stratégie"
big,"Boissons, Grande consommation"
agricool,FoodTech
hector-advisory,"Organisation / Management, Stratégie, Transformation"
pricemoov,"Big Data, SaaS / Cloud Services"
pandascore,"Big Data, Intelligence artificielle / Machine Learning"
vidata,"Big Data, IT / Digital"
starofservice,E-commerce
r-advertising,"Big Data, Digital Marketing / Data Marketing, Marketing / Communication"
thecamp,"Environnement / Développement durable, Formation, Incubateur / Accélérateur"
atelier-na,"Luxe, Mode"
xivo-by-avencall,Electronique / Télécommunications
skyreal,"Electronique / Télécommunications, Intelligence artificielle / Machine Learning, SaaS / Cloud Services"
panorabanques,"Banque, Marketing / Communication"
meero,"Intelligence artificielle / Machine Learning, Logiciels"
xelya,Intelligence artificielle / Machine Learning
percko,"Mode, Objets connectés"
rise-up,EdTech
livestorm,IT / Digital
all-turtles,"Intelligence artificielle / Machine Learning, Logiciels"
hubvisory,"Design, Digital, Digital Marketing / Data Marketing, IT / Digital, Stratégie"
liberkeys,Immobilier particulier
opal-consulting,"Digital Marketing / Data Marketing, IT / Digital, Transformation"
kaliop-france,"Digital, E-commerce, Stratégie"
colonies,Immobilier particulier
everoad,"Application mobile, Logistique, Transports maritime et routier"
textmaster,Marketing / Communication
appaloosa,"Application mobile, SaaS / Cloud Services"
datadome,"Big Data, Cybersécurité, SaaS / Cloud Services"
bcg-platinion,IT / Digital
sos-accessoire,E-commerce
lõu.yetu,"E-commerce, Joaillerie"
little-gustave,"E-commerce, FoodTech"
noveane,"IT / Digital, Stratégie, Transformation"
arcep,"Electronique / Télécommunications, IT / Digital, Objets connectés"
vulog,"Mobilité, SaaS / Cloud Services, Économie collaborative"
startup-factory,"Digital Marketing / Data Marketing, Organisation / Management, Stratégie"
warner-music-france,"Edition, Musique, Télévision / Production audiovisuelle"
genius,"Digital Marketing / Data Marketing, Recrutement"
revers.io,"Logistique, SaaS / Cloud Services"
agence-black-lemon,"Evénementiel, Luxe, Marketing / Communication"
adveris,"Design, E-commerce"
alain-milliat,Epicerie fine
scalair,SaaS / Cloud Services
softbank-robotics-europe,"Objets connectés, Robotique"
lamarck-group,"Stratégie, Transaction Services"
clearnox,"FinTech / InsurTech, SaaS / Cloud Services"
prevision.io,"Big Data, IT / Digital, Intelligence artificielle / Machine Learning"
beijaflore,Transformation
unowhy,"EdTech, IT / Digital, Objets connectés"
créactifs,"Formation, Transformation"
cdiscount,E-commerce
cheil-france,"E-commerce, Marketing / Communication, Organisation / Management"
bluenove,"Intelligence artificielle / Machine Learning, Transformation"
sirdata,"AdTech  / MarTech, Digital"
oh-bibi,Jeux vidéos
kang,Économie collaborative
legalife,"Logiciels, Service juridique"
colisweb,"Application mobile, Logistique"
blueboard,SaaS / Cloud Services
manzalab-group,"Application mobile, Design, IT / Digital"
institut-montaigne,"Education, Fondation / ONG, Social / Associatif"
team-io,"Design, Logiciels, Objets connectés"
concord,Organisation / Management
consensys,"Blockchain, Stratégie"
skello,"Application mobile, FoodTech, Organisation / Management"
deskopolitan,"Immobilier commercial, Économie collaborative"
peopledoc,"Ressources humaines, SaaS / Cloud Services"
the-brand-nation,"Digital, Marketing / Communication, Publicité"
citygo,"Application mobile, Mobilité, Économie collaborative"
mygladys,"IT / Digital, SaaS / Cloud Services"
wedoogift,"Application mobile, E-commerce"
neosight,IT / Digital
nivac,"Education, IT / Digital"
dupont-lewis,"Agroalimentaire, Marketing / Communication, Relations publiques"
pathfinder,"Incubateur / Accélérateur, Organisation / Management, Stratégie"
e-cotiz,"E-commerce, Social / Associatif, Sport"
yelloan,"Banque, FinTech / InsurTech, IT / Digital"
backelite,IT / Digital
homunity,"FinTech / InsurTech, Immobilier particulier, Économie collaborative"
starclay,"Big Data, Digital Marketing / Data Marketing, IT / Digital"
letsignit,"Digital, Marketing / Communication"
vertuo-conseil,"Banque, Finance, Organisation / Management"
nelio,"Application mobile, FoodTech"
landor,"Design, Publicité, Stratégie"
rte,Energie
abbd,Audit
euro-information-telecom,Electronique / Télécommunications
tilak-healthcare,"Application mobile, Jeux vidéos, Santé"
intercloud,SaaS / Cloud Services
expedicar,"Automobile, Logistique, Mobilité"
balthazar,"Organisation / Management, Stratégie, Transformation"
seequalis,"IT / Digital, Organisation / Management"
coyote,"Application mobile, Objets connectés"
early-metrics,Finance
upslide,Logiciels
daveo,"Organisation / Management, Stratégie, Transformation"
ing-bank,Banque
testpass,"Publicité, Sport"
lucette.com,Cosmétique
izipizi,"E-commerce, Mode"
appear-here,"Immobilier commercial, Économie collaborative"
greenworking,"Organisation / Management, Stratégie"
melvin-&-hamilton-digital,"E-commerce, Mode"
kynapse,"Intelligence artificielle / Machine Learning, Stratégie, Transformation"
lbmg-worklabs,"Aménagement / Design, Coworking, Organisation / Management"
switch-collective,"Formation, Organisation / Management, Ressources humaines"
leoo,"Big Data, Digital Marketing / Data Marketing, Marketing / Communication"
nam.r,Big Data
the-kase,E-commerce
leboncoin,"E-commerce, Économie collaborative"
merci-handy,Art de vivre
vestiaire-collective,"E-commerce, Luxe, Mode"
tshirt-corner,"E-commerce, Mode"
wellstone,"Immobilier commercial, Stratégie"
cirruseo,"Application mobile, IT / Digital, SaaS / Cloud Services"
placeloop,"Marketing / Communication, Publicité, SaaS / Cloud Services"
touch-&-sell,Application mobile
baracoda,"Application mobile, Cybersécurité, Objets connectés, Santé"
uptoo,Recrutement
syartec,"IT / Digital, Logistique"
monsieur-tshirt,"E-commerce, Mode, Publicité"
guestready,"Immobilier particulier, Économie collaborative"
la-javaness,"Intelligence artificielle / Machine Learning, Logiciels"
groupe-seloger,"Application mobile, Immobilier particulier"
fortuneo,"Application mobile, Banque"
axys-consultants,"Digital Marketing / Data Marketing, Stratégie, Transformation"
odw,"Digital, Marketing / Communication, Média, Publicité"
change-factory,"Formation, Organisation / Management, Ressources humaines"
sosav,"E-commerce, Environnement / Développement durable, IT / Digital"
onepoint,"Organisation / Management, Stratégie, Transformation"
glovo,"Application mobile, E-commerce"
oyez,"E-commerce, IT / Digital"
wavy,"Application mobile, Art de vivre, Logiciels"
drive-innovation-insights,"Evénementiel, Publicité, Transformation"
wiztivi,"Electronique / Télécommunications, IT / Digital"
quinten,"Big Data, Digital Marketing / Data Marketing, Stratégie"
hivency,"Application mobile, Média, Publicité"
samson-sur-mesure,"Luxe, Mode"
dronisos,Objets connectés
fabernovel-innovate,"Digital, Stratégie"
revevol-group,"Big Data, IT / Digital, SaaS / Cloud Services"
neoledge,"Intelligence artificielle / Machine Learning, Logiciels, SaaS / Cloud Services"
pied-de-biche---paris,"E-commerce, Mode"
hubworkair,"Aéronautique / Spatiale, Logiciels, Recrutement"
liegey-muller-pons,"Big Data, Marketing / Communication, SaaS / Cloud Services"
unow,"Education, Formation, Marketing / Communication"
remix-community,"Coworking, Immobilier commercial"
luxurynsight,"Big Data, Luxe"
user-studio,Design
artefact,"Digital Marketing / Data Marketing, Intelligence artificielle / Machine Learning"
smiirl,Objets connectés
uptime,"Immobilier particulier, Objets connectés"
alterfood,"Environnement / Développement durable, Epicerie fine, Grande consommation"
demander-justice,"IT / Digital, SaaS / Cloud Services, Service juridique"
allegorithmic---an-adobe-company,"Jeux vidéos, Loisirs"
softway-medical,"Logiciels, Santé"
synthesio,Big Data
nextories-(anciennement-i-demenager),"E-commerce, Logistique, Services à la personne"
newsbridge-,"Big Data, Intelligence artificielle / Machine Learning, Média"
belacom,"Digital, Marketing / Communication, Publicité"
gympass,Sport
marketing-1by1,"Big Data, Marketing / Communication"
pangee,"IT / Digital, Objets connectés"
yoopies,Économie collaborative
des-systèmes-et-des-hommes,"Application mobile, Big Data, IT / Digital"
lemon-tri,"Environnement / Développement durable, Économie collaborative"
sculpteo,"Design, E-commerce, SaaS / Cloud Services"
cosmo-connected,Objets connectés
digeiz,"Immobilier commercial, Intelligence artificielle / Machine Learning, SaaS / Cloud Services"
sewan,"Electronique / Télécommunications, IT / Digital"
hospitality.digital,FoodTech
cubik-partners,"Formation, Organisation / Management"
ibanfirst,FinTech / InsurTech
arcane,"AdTech  / MarTech, Big Data"
onewealthplace,"Big Data, FinTech / InsurTech, IT / Digital"
high-flyers-agency,"Organisation / Management, Recrutement, Stratégie"
playgrnd,"Design, Stratégie"
oneida-associés,Transformation
crafty,Organisation / Management
baybridgedigital,"Design, Stratégie, Transformation"
avisia,"Big Data, IT / Digital"
zoov,"Environnement / Développement durable, Objets connectés, Économie collaborative"
abbeal,"IT / Digital, Incubateur / Accélérateur"
liligo.com,"Mobilité, Tourisme"
change-the-work,"Presse écrite, Économie collaborative"
novexpert,"Cosmétique, Santé"
fitle,"Application mobile, E-commerce"
le-petit-ballon,"Boissons, E-commerce"
credit.fr,FinTech / InsurTech
paris-zigzag,"Média, Tourisme"
bnp-paribas,Banque
wemanity,"Formation, Organisation / Management"
thiga,"Digital, Digital Marketing / Data Marketing"
glory4gamers,"Jeux vidéos, Média, Sport"
wedr,"Digital Marketing / Data Marketing, IT / Digital, Organisation / Management, Stratégie"
little-worker,"Bâtiment / Travaux publics, Immobilier particulier, Logiciels"
addock,"Loisirs, Tourisme"
quable,"Digital Marketing / Data Marketing, SaaS / Cloud Services"
lalalab,"Application mobile, E-commerce"
indigen,"Digital, IT / Digital"
bam-karaoke-box,"Edition, Média, Tourisme"
kowffice,Immobilier commercial
